71	78	66.3	79.06
74	71	69.4	72.24
76	66	71.32	67.21
116	69	112.11	69.89
119	95	114.25	95.77
128	86	123.43	87.1
149	98	144.34	98.61
167	100	162.65	100.91
176	92	171.79	93.21
190	69	185.86	70.43
197	93	192.97	94.62
209	77	205.1	78.57
225	78	221.18	79.35
245	65	241.03	67.28
251	101	247.12	103.56
272	66	267.83	68.4
274	82	270.23	83.83
290	71	285.78	73.71
308	90	303.85	92.83
311	82	306.92	84.85
314	77	310.24	79.64
360	84	355.73	87.63
373	101	368.98	104.16
378	89	373.77	92.21
394	78	390	81.44
404	82	399.92	85.14
417	75	412.89	78.12
422	94	418.15	96.59
428	82	424.04	85.04
431	73	426.59	75.75
86	103	81.29	103.46
86	140	81.24	140.09
98	125	93.37	124.95
102	119	97.35	119.38
104	140	99.04	139.94
119	122	114.12	123.17
146	119	141.18	120.08
173	119	168.94	120.31
177	122	173.16	123.21
198	133	194.07	134.89
199	125	194.92	127.01
212	110	208.29	111.94
239	109	235.22	111.03
239	120	235.06	121.92
242	141	238.26	142.89
266	119	261.96	121.42
266	137	261.81	139.12
288	134	283.63	135.86
307	124	302.61	126.98
308	115	304.06	117.59
335	136	330.91	138.85
353	107	348.59	110.21
356	117	351.6	120.23
362	113	357.77	116.23
383	120	378.95	123.42
401	121	396.79	124.17
405	130	400.61	132.88
425	116	421.23	118.9
434	136	430.46	139.04
459	131	455.47	132.98
76	152	71.4	152.16
86	164	81.84	163.92
88	157	83.55	157.13
104	155	99.32	154.93
125	143	120.13	143.46
138	153	133.67	153.78
145	142	141	143
154	160	149.97	160.8
154	179	150.05	179.37
182	161	178.42	161.92
192	155	188.04	156.87
193	145	189.5	146.65
226	177	221.71	178.11
227	143	222.89	145.05
235	150	230.89	151.85
263	170	259	172
268	147	263.81	149
269	152	264.39	154.29
320	143	316	146
326	153	321	155
333	152	328.53	155.04
349	175	344.87	177.44
356	179	352.08	181.45
368	174	363.94	176.17
389	181	384.47	183.73
391	176	386.78	178.6
421	170	417.63	172.68
422	164	418.43	166.87
431	143	427.64	145.86
437	158	434.18	160.78
71	216	67.23	216.04
74	209	70.12	209.05
98	216	93.76	216.31
102	191	97.88	190.98
105	211	100.89	211.29
113	221	108.97	221.48
171	209	167.19	209.83
173	202	169.37	202.65
178	183	175	184
199	191	195.32	192.65
205	206	201.09	207.87
220	212	215.95	214.15
